COUNTRY_SHORT_NAME,COUNTRY_ALPHA_3_CODE,lat,lng,pop
India,Bīkaner,28.0181,73.3169,529007
India,Agartala,23.8333,91.2667,522613
India,Ujjain,23.1828,75.7772,515215
India,Jhānsi,25.4486,78.5696,507000
India,Ulhāsnagar,19.2167,73.15,506098
India,Davangere,14.4667,75.9167,435125
India,Jammu,32.7333,74.85,502197
India,Belgaum,15.8667,74.5,488157
India,Gulbarga,17.3333,76.8333,481478
India,Jāmnagar,22.47,70.07,479920
India,Dhūlia,20.9,74.7833,366980
India,Gaya,24.75,85.0167,474093
India,Jalgaon,21.0167,75.5667,460468
India,Kurnool,15.8222,78.035,457633
India,Udaipur,24.5833,73.6833,451100
India,Bellary,15.15,76.915,336681
India,Sāngli,16.8667,74.5667,436639
India,Tuticorin,8.7833,78.1333,436094
